"condition","sample","ROI.label","Mutual.information.Hoechst.vs.GFP","Pearson.correlation.coefficient.Hoechst.vs.GFP","puncta.mol.fraction.GFP","puncta.vol.fraction.GFP","mean.intensity.per.cell.GFP","light.phase.intensity.GFP","puncta.dense.phase.intensity.GFP","protein.conc.per.cell.GFP","puncta.number.per.nuclear.vol.GFP","light.phase.conc.GFP","avg.puncta.vol.GFP","puncta.dense.phase.conc.GFP","Kp.GFP","DeltaGtr.GFP"
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",27,0.252400844675306,-0.012494080192017,NA,0,2088.17170731565,2088.17170731565,NA,41.763434146313,0,41.763434146313,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",28,0.249280645785538,-0.0526359557203446,NA,0,380.25701217897,380.25701217897,NA,7.6051402435794,0,7.60514024357941,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",29,0.116790662566811,-0.117591129563413,NA,0,143.225321203801,143.225321203801,NA,2.86450642407602,0,2.86450642407603,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",30,0.097154899130782,0.0201016979625358,NA,0,148.367534984491,148.367534984491,NA,2.96735069968982,0,2.96735069968983,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",31,0.256007149755048,0.269109388241015,NA,0,259.275495444929,259.275495444929,NA,5.18550990889858,0,5.18550990889858,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",32,0.304908103240216,0.158945296516049,NA,0,3127.572205766,3127.572205766,NA,62.55144411532,0,62.55144411532,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",33,0.495228242609526,-0.168402481356839,NA,0,334.653139447584,334.653139447584,NA,6.69306278895168,0,6.69306278895167,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",34,0.112357285127992,-0.0314941335099067,NA,0,125.737906823954,125.737906823954,NA,2.51475813647908,0,2.51475813647908,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",35,0.21171930692156,-0.174921752376958,NA,0,2080.65353680731,2080.65353680731,NA,41.6130707361462,0,41.6130707361462,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",36,0.223857451397472,-0.061457491712314,NA,0,787.481714725164,787.481714725164,NA,15.7496342945033,0,15.7496342945033,0,NA,NA,NA
