"GFP.entropy","GFP.integrated.background.intensity","GFP.integrated.intensity.inside.GFP.puncta","GFP.integrated.intensity.outside.GFP.puncta","GFP.integrated.intensity.per.ROI","GFP.mean.background.intensity","GFP.mean.intensity.inside.GFP.puncta","GFP.mean.intensity.outside.GFP.puncta","GFP.mean.intensity.per.ROI","Hoechst.entropy","Hoechst.integrated.background.intensity","Hoechst.integrated.intensity.inside.GFP.puncta","Hoechst.integrated.intensity.outside.GFP.puncta","Hoechst.integrated.intensity.per.ROI","Hoechst.mean.background.intensity","Hoechst.mean.intensity.inside.GFP.puncta","Hoechst.mean.intensity.outside.GFP.puncta","Hoechst.mean.intensity.per.ROI","Image.name","Mutual.information.Hoechst.vs.GFP","Pearson.correlation.coefficient.Hoechst.vs.GFP","Pearson.correlation.p.value.Hoechst.vs.GFP","ROI.label","ROI.volume.pix","ROI.volume.um","average.GFP.puncta.distance.to.ROI.border.um.per.ROI","average.GFP.puncta.volume.pix.per.ROI","average.GFP.puncta.volume.um.per.ROI","condition","number.of.GFP.puncta","sample","total.GFP.puncta.volume.pix.per.ROI","total.GFP.puncta.volume.um.per.ROI","x","y","z"
3.14804547969395,18993769682,NA,2935420,2935420,468.199011544324,NA,19.5963790271974,19.5963790271974,5.10650599807297,664992764,NA,11784212,11784212,16.3921622722417,NA,78.669452715062,78.669452715062,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.0488182218219837,0.144709634944985,0,12,149794,362.501457825437,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,349.860528459084,202.653116947274,24.8915377117909
3.02789645106898,18993769682,NA,7462333,7462333,468.199011544324,NA,13.6886619572336,13.6886619572336,4.21386396308603,664992764,NA,23814009,23814009,16.3921622722417,NA,43.6836467961853,43.6836467961853,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.0084331399368213,0.0361040496238977,1.17627566550975e-156,13,545147,1319.25565929986,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,803.368082370443,262.51788600139,29.6134638913908
3.63979505111801,18993769682,NA,3802880,3802880,468.199011544324,NA,30.7648995639547,30.7648995639547,3.96421684673424,664992764,NA,5095182,5095182,16.3921622722417,NA,41.2194869388647,41.2194869388647,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.0283852261359767,0.0055613572608145,0.0505503687254407,14,123611,299.138601701404,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,41.7133588434686,247.286196212311,47.4700148045077
3.36983502361576,18993769682,NA,10152698,10152698,468.199011544324,NA,16.5589906103669,16.5589906103669,4.12081505107308,664992764,NA,25479916,25479916,16.3921622722417,NA,41.557592848417,41.557592848417,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.0289165107677273,0.194221435019654,0,16,613123,1483.75756923712,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,936.812094799902,307.458496908451,23.5641249798164
4.55546849591714,18993769682,NA,15716183,15716183,468.199011544324,NA,80.6520598981854,80.6520598981854,4.42768723189875,664992764,NA,7948551,7948551,16.3921622722417,NA,40.7902485836276,40.7902485836276,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.0984402659664231,-0.100306960874398,0,17,194864,471.570851153557,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,336.3024519665,287.499019829214,36.8688110682322
5.83055893512951,18993769682,NA,75998832,75998832,468.199011544324,NA,170.272691425294,170.272691425294,4.08078338961328,664992764,NA,18996545,18996545,16.3921622722417,NA,42.5610862668483,42.5610862668483,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.107251644434808,-0.0282572558139208,1.60600070957526e-79,18,446336,1080.13305392722,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,97.1890078326642,339.046937733008,38.0157034162604
5.69714145095241,18993769682,NA,94245098,94245098,468.199011544324,NA,180.230243921096,180.230243921096,4.33346528769899,664992764,NA,26202501,26202501,16.3921622722417,NA,50.1085281546714,50.1085281546714,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.16982323745419,-0.0469602725398968,4.87492251419224e-253,19,522915,1265.45422259095,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,219.573347484773,354.397818001014,33.7834236921871
5.39783728951278,18993769682,NA,46989944,46989944,468.199011544324,NA,163.757127573192,163.757127573192,4.47887609737811,664992764,NA,12607889,12607889,16.3921622722417,NA,43.9377345800125,43.9377345800125,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.182865113930066,-0.0807013016505896,0,20,286949,694.416537521872,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,467.385444800296,358.30190382263,31.7283837894539
7.37082338926645,18993769682,NA,373254086,373254087,468.199011544324,NA,2157.94970716958,2157.94970716958,3.34523306168771,664992764,NA,4139575,4139575,16.3921622722417,NA,23.9327443963299,23.9327443963299,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.385263190553037,0.128651294850068,0,21,172967,418.580114395051,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,386.510779512855,359.169061150393,27.5868171385293
4.63651723573288,18993769682,NA,14533230,14533231,468.199011544324,NA,79.3675544609066,79.3675544609066,5.20337158928924,664992764,NA,16908138,16908138,16.3921622722417,NA,92.3371797742378,92.3371797742378,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.297741496169961,-0.16535105614185,0,22,183113,443.133432893101,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,830.062835516867,375.674343165149,42.447292109244
